corpus_name,canonical_author_id,matched_en_name,matched_he_name,name_script,source,confidence,status,notes
מוחמד ברהים,ibrahim_mohammad,Ibrahim Mohammad,אברהים מוחמד,HE,fuzzy_he,0.957,accepted,
ענבל בן יהודה,inbal_ben_yehuda,Inbal Ben Yehuda,ענבל בן-יהודה,HE,fuzzy_he,0.923,accepted,
אן פאק,anne_paq,Anne Paq,אן פק,HE,fuzzy_he,0.909,accepted,
מיכאל ספיר,michael_sfard,Michael Sfard,מיכאל ספרד,HE,fuzzy_he,0.9,rejected,
אחמד רפאת,ahmad_rafat,Ahmad Rafat,אחמד ראפת,HE,fuzzy_he,0.889,accepted,
אמילי שפר עומר-מן,michael_schaeffer_omer_man,Michael Schaeffer Omer-Man,מיכאל שפר עומר-מן,HE,fuzzy_he,0.882,rejected,
רים עמאר,reem_amer,Reem Amer,רים עאמר,HE,fuzzy_he,0.875,accepted,
אמג'ד יאע'י,amjad_yaghi,Amjad Yaghi,אמג'ד יאגי,HE,fuzzy_he,0.857,accepted,
מוריאל רוטמן,moriel_rothman_zecher,Moriel Rothman-Zecher,מוריאל רוטמן-זכר,HE,fuzzy_he,0.857,accepted,
אבי קליין,eyal_clyne,Eyal Clyne,אייל קליין,HE,fuzzy_he,0.842,rejected,
נייט אורבך,danny_orbach,Danny Orbach,דני אורבך,HE,fuzzy_he,0.842,rejected,
יהלי מרום,yael_yali_marom,Yael/Yali Marom,יעל מרום,HE,fuzzy_he,0.824,pending,
אסף אוזן,assaf_oron,Assaf Oron,אסף אורון,HE,fuzzy_he,0.824,rejected,
נעה באסל,basel_adra,Basel Adra,באסל עדרה,HE,fuzzy_he,0.824,rejected,
אבי ברג,avital_burg,Avital Burg,אביטל בורג,HE,fuzzy_he,0.824,rejected,
מוחמד זידאן,mohammed_zaanoun,Mohammed Zaanoun,מוחמד זאנון,HE,fuzzy_he,0.818,rejected,
עומר רחמן,omar_h_rahman,Omar H. Rahman,עומאר ה. רחמן,HE,fuzzy_he,0.818,pending,
רווידה כמאל עאמר,ruwaida_amer,Ruwaida Amer,רווידה עאמר,HE,fuzzy_he,0.815,pending,
יוסף רפופורט,meron_rapoport,Meron Rapoport,מירון רפופורט,HE,fuzzy_he,0.8,rejected,
אמיר קליין,eyal_clyne,Eyal Clyne,אייל קליין,HE,fuzzy_he,0.8,rejected,
דניאל חקלאי,daniel_levy,Daniel Levy,דניאל לוי,HE,fuzzy_he,0.8,rejected,
יגאל אלחנן,elhanan_miller,Elhanan Miller,אלחנן מילר,HE,fuzzy_he,0.8,rejected,
שי אילן,eyal_sagiv,Eyal Sagiv,איל שגיב,HE,fuzzy_he,0.8,rejected,
תני גולדשטיין,ran_goldstein,Ran Goldstein,רן גולדשטיין,HE,fuzzy_he,0.8,rejected,
שי גרינברג,lev_grinberg,Lev Grinberg,לב גרינברג,HE,fuzzy_he,0.8,rejected,
עדי סגל,amir_segal,Amir Segal,עמיר סגל,HE,fuzzy_he,0.8,rejected,
ערן סגל,amir_segal,Amir Segal,עמיר סגל,HE,fuzzy_he,0.8,rejected,
מוחמד סולימאן,suleiman_maswadeh,Suleiman Maswadeh,סולימאן מסוואדי,HE,fuzzy_he,0.786,rejected,
אחמד אל-סמאכּ,ahmad_al_bazz,Ahmad Al-Bazz,אחמד אל-באז,HE,fuzzy_he,0.783,rejected,
עידו אמין,ido_liven,Ido Liven,עידו ליבן,HE,fuzzy_he,0.778,rejected,
שרון קרני,corey_sherman,Corey Sherman,קורי שרמן,HE,fuzzy_he,0.778,rejected,
שקד אורבך,danny_orbach,Danny Orbach,דני אורבך,HE,fuzzy_he,0.778,rejected,
עמית לוי,amit_gilutz,Amit Gilutz,עמית גילוץ,HE,fuzzy_he,0.778,rejected,
שרון קרני,corey_sherman,Corey Sherman,קורי שרמן,HE,fuzzy_he,0.778,rejected,
שני אלוני,guy_aloni,Guy Aloni,גיא אלוני,HE,fuzzy_he,0.778,rejected,
נדב אלגזי,gadi_algazi,Gadi Algazi,גדי אלגזי,HE,fuzzy_he,0.778,rejected,
יובל אור,yuval_abraham,Yuval Abraham,יובל אברהם,HE,fuzzy_he,0.778,rejected,
שקד אורבך,danny_orbach,Danny Orbach,דני אורבך,HE,fuzzy_he,0.778,rejected,
שני אלוני,guy_aloni,Guy Aloni,גיא אלוני,HE,fuzzy_he,0.778,rejected,
שיר אלוני,guy_aloni,Guy Aloni,גיא אלוני,HE,fuzzy_he,0.778,rejected,
שיר אלוני,guy_aloni,Guy Aloni,גיא אלוני,HE,fuzzy_he,0.778,rejected,
איתן ברונשטיין,eitan_bronstein_aparicio,Eitan Bronstein Aparicio,איתן ברונשטיין אפריסיו,HE,fuzzy_he,0.778,pending,
מאיה גוארניירי-ג'ראדאת,mya_guarnieri_jaradat,Mya Guarnieri Jaradat,מאיה גוארניירי,HE,fuzzy_he,0.778,accepted,
רועי מרום,roi_maor,Roi Maor,רועי מאור,HE,fuzzy_he,0.778,rejected,
אורי וייס,orly_noy,Orly Noy,אורלי נוי,HE,fuzzy_he,0.778,rejected,
סמי אבו שחאדה,abed_abou_shhadeh,Abed Abou Shhadeh,עבד אבו שחאדה,HE,fuzzy_he,0.769,rejected,
